Nrotrans;Fecha;Fechaext;Talonario;Abreviado;Prefijoext;Numeroext;Codprv;Provincia;Codctacte;Nombre;Coddoc;Nrodoc1;Nrodoc2;Codban;Banco;CoddocB;Nrodoc1B;Nrodoc2B;Regimen;Descripcion;Impsuj;Importe
5714469;30/05/18;30/05/18;1130;FAC;0144;00009921;SCR;SANTA CRUZ;SJ001540;ASOC MOVIMIENTO JUVENIL;80;20015153467;;;;;;;SCR;SANTA CRUZ;880,04;13,20
5672190;23/05/18;23/05/18;3060;FAC;0124;00015875;SCR;SANTA CRUZ;50158;SUCESORES PESSOLANO RAFAEL;80;20015153467;;;;;;;SCR;SANTA CRUZ;845,77;12,69
5722153;31/05/18;31/05/18;3060;FAC;0124;00015962;SCR;SANTA CRUZ;50158;SUCESORES PESSOLANO RAFAEL;80;20015153467;;;;;;;SCR;SANTA CRUZ;756,37;11,35
5699364;28/05/18;28/05/18;6260;FAC;0100;00029386;SCR;SANTA CRUZ;81323;SIERRA TEODORO;80;20015791218;;;;;;;SCR;SANTA CRUZ;1.830,40;27,46
5593969;13/05/18;13/05/18;7381;FAC;0162;00008000;SCR;SANTA CRUZ;LHE2819;SUC.DE SUC.DE JOSE MARIA RIVER;80;20044638836;;;;;;;LHE;TASA VIAL LAS HERAS;1.294,23;37,71
5593969;13/05/18;13/05/18;7381;FAC;0162;00008000;SCR;SANTA CRUZ;LHE2819;SUC.DE SUC.DE JOSE MARIA RIVER;80;20044638836;;;;;;;SCR;SANTA CRUZ;959,08;14,39
5634088;19/05/18;19/05/18;6260;FAC;0100;00029314;SCR;SANTA CRUZ;80066;KONIG, MIGUEL ANGEL.;80;20052120706;;;;;;;SCR;SANTA CRUZ;3.617,78;54,27
5641805;20/05/18;20/05/18;1140;FAC;0148;00004845;SCR;SANTA CRUZ;SJ000568;MARTINEZ JOSE ANGEL;80;20054046422;;;;;;;SCR;SANTA CRUZ;803,23;12,05
5669204;25/05/18;25/05/18;1140;FAC;0148;00004919;SCR;SANTA CRUZ;SJ000568;MARTINEZ JOSE ANGEL;80;20054046422;;;;;;;SCR;SANTA CRUZ;951,28;14,27
5712569;30/05/18;30/05/18;6270;FAC;0149;00004152;SCR;SANTA CRUZ;SC002245;PAGNIO MIGUEL ANGEL;80;20054047607;;;;;;;SCR;SANTA CRUZ;1.756,82;26,35
5550215;06/05/18;06/05/18;1140;FAC;0148;00004732;SCR;SANTA CRUZ;SJ000952;SJOSTROM JORGE RAUL;80;20054134364;;;;;;;SCR;SANTA CRUZ;1.008,19;15,12
5550209;06/05/18;06/05/18;1140;FAC;0148;00004726;SCR;SANTA CRUZ;SC0276;VENTER FEDERICO;80;20054139250;;;;;;;SCR;SANTA CRUZ;324,18;4,86
5664811;23/05/18;23/05/18;6243;FAC;0068;00057650;SCR;SANTA CRUZ;SC006370;ODRIOZOLA HECTOR BARTOLOME;80;20054975792;;;;;;;SCR;SANTA CRUZ;4.340,77;65,11
5675953;25/05/18;25/05/18;6260;FAC;0100;00029368;SCR;SANTA CRUZ;SC006370;ODRIOZOLA HECTOR BARTOLOME;80;20054975792;;;;;;;SCR;SANTA CRUZ;4.463,07;66,95
5670716;26/05/18;26/05/18;7188;FAC;0137;00008899;SCR;SANTA CRUZ;SJ001048;CORRES OSCAR H.;80;20055295469;;;;;;;SCR;SANTA CRUZ;950,90;14,26
5516330;01/05/18;01/05/18;7371;FAC;0150;00008189;CHU;CHUBUT;0137;OTAMENDI CARLOS ANIBAL (PADRE);80;20055997986;;;;;;;LHE;TASA VIAL LAS HERAS;1.112,96;32,43
5583628;03/05/18;03/05/18;6350;FAC;0072;00045196;CHU;CHUBUT;0137;OTAMENDI CARLOS ANIBAL (PADRE);80;20055997986;;;;;;;LHE;TASA VIAL LAS HERAS;1.898,19;55,31
5516330;01/05/18;01/05/18;7371;FAC;0150;00008189;CHU;CHUBUT;0137;OTAMENDI CARLOS ANIBAL (PADRE);80;20055997986;;;;;;;SCR;SANTA CRUZ;824,75;12,37
5583628;03/05/18;03/05/18;6350;FAC;0072;00045196;CHU;CHUBUT;0137;OTAMENDI CARLOS ANIBAL (PADRE);80;20055997986;;;;;;;SCR;SANTA CRUZ;1.406,64;21,10
5620262;16/05/18;16/05/18;7381;FAC;0162;00008117;SCR;SANTA CRUZ;50072;GAITAN RAUL ERNESTO;80;20056086871;;;;;;;LHE;TASA VIAL LAS HERAS;1.844,44;53,74
5553129;05/05/18;05/05/18;6260;FAC;0100;00028894;SCR;SANTA CRUZ;50072;GAITAN RAUL ERNESTO;80;20056086871;;;;;;;SCR;SANTA CRUZ;732,65;10,99
5620262;16/05/18;16/05/18;7381;FAC;0162;00008117;SCR;SANTA CRUZ;50072;GAITAN RAUL ERNESTO;80;20056086871;;;;;;;SCR;SANTA CRUZ;1.366,81;20,50
5518993;01/05/18;01/05/18;3040;FAC;0121;00006404;SCR;SANTA CRUZ;SJ1621;CHIARA ANTONIO;80;20059452054;;;;;;;SCR;SANTA CRUZ;722,28;10,83
5534310;03/05/18;03/05/18;3040;FAC;0121;00006496;SCR;SANTA CRUZ;SJ1621;CHIARA ANTONIO;80;20059452054;;;;;;;SCR;SANTA CRUZ;696,26;10,44
5673290;24/05/18;24/05/18;3040;FAC;0121;00007231;SCR;SANTA CRUZ;SJ1621;CHIARA ANTONIO;80;20059452054;;;;;;;SCR;SANTA CRUZ;1.212,22;18,18
5702969;29/05/18;29/05/18;3040;FAC;0121;00007338;SCR;SANTA CRUZ;SJ1621;CHIARA ANTONIO;80;20059452054;;;;;;;SCR;SANTA CRUZ;733,25;11,00
5634946;20/05/18;20/05/18;6260;FAC;0100;00029326;SCR;SANTA CRUZ;SC9192;ROSSI JORGE HORACIO;80;20061514032;;;;;;;SCR;SANTA CRUZ;772,92;11,59
5657843;22/05/18;22/05/18;6243;FAC;0068;00057591;SCR;SANTA CRUZ;SC9192;ROSSI JORGE HORACIO;80;20061514032;;;;;;;SCR;SANTA CRUZ;803,91;12,06
5567756;08/05/18;08/05/18;7137;FAC;0069;00041129;SCR;SANTA CRUZ;12016;CALLIERI ALDO SEBASTIAN;80;20065522277;;;;;;;SCR;SANTA CRUZ;685,82;10,29
5537208;04/05/18;04/05/18;7371;FAC;0150;00008230;SCR;SANTA CRUZ;SJ9127;NIETO OSCAR;80;20065943272;;;;;;;LHE;TASA VIAL LAS HERAS;2.682,94;77,91
5537208;04/05/18;04/05/18;7371;FAC;0150;00008230;SCR;SANTA CRUZ;SJ9127;NIETO OSCAR;80;20065943272;;;;;;;SCR;SANTA CRUZ;1.954,13;29,31
5614908;15/05/18;15/05/18;3060;FAC;0124;00015725;SCR;SANTA CRUZ;82138;ALDO RUBEN LIVELLARA;80;20068616353;;;;;;;SCR;SANTA CRUZ;1.800,53;27,01
5601633;13/05/18;13/05/18;6243;FAC;0068;00057414;SCR;SANTA CRUZ;SC004540;HELGUERO GABINO;80;20069589147;;;;;;;SCR;SANTA CRUZ;751,27;11,27
5543165;04/05/18;04/05/18;7137;FAC;0069;00041052;SCR;SANTA CRUZ;10296;QUIROGA JUSTO (SERVEXCO);80;20069643109;;;;;;;SCR;SANTA CRUZ;667,26;10,01
5610804;15/05/18;15/05/18;7137;FAC;0069;00041253;SCR;SANTA CRUZ;10296;QUIROGA JUSTO (SERVEXCO);80;20069643109;;;;;;;SCR;SANTA CRUZ;741,40;11,12
5719413;31/05/18;31/05/18;6260;FAC;0100;00029541;SCR;SANTA CRUZ;10296;QUIROGA JUSTO (SERVEXCO);80;20069643109;;;;;;;SCR;SANTA CRUZ;407,87;6,12
5558816;07/05/18;07/05/18;7137;FAC;0069;00041112;SCR;SANTA CRUZ;10506;FRATZSCHER  JORGE FEDERICO;80;20073097097;;;;;;;SCR;SANTA CRUZ;366,26;5,49
5605369;14/05/18;14/05/18;1140;FAC;0148;00004811;SCR;SANTA CRUZ;10506;FRATZSCHER  JORGE FEDERICO;80;20073097097;;;;;;;SCR;SANTA CRUZ;366,63;5,50
5617443;16/05/18;16/05/18;7137;FAC;0069;00041259;SCR;SANTA CRUZ;10506;FRATZSCHER  JORGE FEDERICO;80;20073097097;;;;;;;SCR;SANTA CRUZ;444,83;6,67
5650342;21/05/18;21/05/18;1140;FAC;0148;00004863;SCR;SANTA CRUZ;10506;FRATZSCHER  JORGE FEDERICO;80;20073097097;;;;;;;SCR;SANTA CRUZ;366,26;5,49
5720365;31/05/18;31/05/18;1130;FAC;0144;00009935;SCR;SANTA CRUZ;10506;FRATZSCHER  JORGE FEDERICO;80;20073097097;;;;;;;SCR;SANTA CRUZ;366,26;5,49
5534293;03/05/18;03/05/18;3040;FAC;0121;00006479;SCR;SANTA CRUZ;SC0758;IZURRATEGUI ALBERTO.;80;20073134898;;;;;;;SCR;SANTA CRUZ;148,35;2,23
5542080;04/05/18;04/05/18;3060;FAC;0124;00015654;SCR;SANTA CRUZ;SC0758;IZURRATEGUI ALBERTO.;80;20073134898;;;;;;;SCR;SANTA CRUZ;1.009,08;15,14
5583929;11/05/18;11/05/18;6243;FAC;0068;00057396;SCR;SANTA CRUZ;SC005814;EMILIO JOSE RODIÑO;80;20073265518;;;;;;;SCR;SANTA CRUZ;1.763,51;26,45
5624690;17/05/18;17/05/18;6260;FAC;0100;00029248;SCR;SANTA CRUZ;SC005814;EMILIO JOSE RODIÑO;80;20073265518;;;;;;;SCR;SANTA CRUZ;418,16;6,27
5664814;23/05/18;23/05/18;6243;FAC;0068;00057653;SCR;SANTA CRUZ;SC005814;EMILIO JOSE RODIÑO;80;20073265518;;;;;;;SCR;SANTA CRUZ;2.292,62;34,39
5676606;24/05/18;24/05/18;6350;FAC;0072;00045284;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;LHE;TASA VIAL LAS HERAS;384,56;11,21
5677951;27/05/18;27/05/18;7381;FAC;0162;00008436;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;LHE;TASA VIAL LAS HERAS;480,59;14,00
5617460;16/05/18;16/05/18;7137;FAC;0069;00041276;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;SCR;SANTA CRUZ;705,22;10,58
5627806;17/05/18;17/05/18;6113;NCR A;0054;00002337;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;SCR;SANTA CRUZ;705,22;10,58
5676606;24/05/18;24/05/18;6350;FAC;0072;00045284;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;SCR;SANTA CRUZ;284,98;4,27
5677951;27/05/18;27/05/18;7381;FAC;0162;00008436;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;SCR;SANTA CRUZ;356,14;5,34
5705101;29/05/18;29/05/18;1140;FAC;0148;00004963;SCR;SANTA CRUZ;10439;WILLATOWSKY ALFREDO;80;20073270449;;;;;;;SCR;SANTA CRUZ;733,99;11,01
5530014;03/05/18;03/05/18;7137;FAC;0069;00041038;SCR;SANTA CRUZ;SJ1710;RAMOS GENERALES MATERIALES;80;20073270449;;;;;;;SCR;SANTA CRUZ;129,78;1,95
5573738;09/05/18;09/05/18;1130;FAC;0144;00009635;SCR;SANTA CRUZ;SJ1710;RAMOS GENERALES MATERIALES;80;20073270449;;;;;;;SCR;SANTA CRUZ;800,73;12,01
5598338;12/05/18;12/05/18;1130;FAC;0144;00009693;SCR;SANTA CRUZ;SJ1710;RAMOS GENERALES MATERIALES;80;20073270449;;;;;;;SCR;SANTA CRUZ;405,21;6,08
5640317;19/05/18;19/05/18;7137;FAC;0069;00041339;SCR;SANTA CRUZ;SJ1710;RAMOS GENERALES MATERIALES;80;20073270449;;;;;;;SCR;SANTA CRUZ;400,35;6,01
5663264;23/05/18;23/05/18;1140;FAC;0148;00004887;SCR;SANTA CRUZ;SJ1710;RAMOS GENERALES MATERIALES;80;20073270449;;;;;;;SCR;SANTA CRUZ;1.112,31;16,68
5664820;23/05/18;23/05/18;6260;FAC;0100;00029353;CHU;CHUBUT;80265;BARRERA SIMON;80;20073270481;;;;;;;CHU;CHUBUT;393,05;5,90
5631615;18/05/18;18/05/18;7188;FAC;0137;00008804;SCR;SANTA CRUZ;70070;GOMEZ  MARIO  CESAR;80;20073294704;;;;;;;SCR;SANTA CRUZ;400,46;6,01
5530042;03/05/18;03/05/18;7193;FAC;0143;00010571;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;366,26;5,49
5550166;06/05/18;06/05/18;7137;FAC;0069;00041081;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;366,70;5,50
5578019;10/05/18;10/05/18;1140;FAC;0148;00004775;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;401,59;6,02
5596484;11/05/18;11/05/18;1140;FAC;0148;00004796;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;585,71;8,79
5596430;11/05/18;11/05/18;7137;FAC;0069;00041184;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;733,25;11,00
5610800;15/05/18;15/05/18;7137;FAC;0069;00041249;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;733,25;11,00
5633104;18/05/18;18/05/18;6113;NCR A;0054;00002339;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;969,01;14,54
5633105;18/05/18;18/05/18;6113;NCR A;0054;00002340;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;845,19;12,68
5631574;18/05/18;18/05/18;7137;FAC;0069;00041301;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;969,01;14,54
5631576;18/05/18;18/05/18;7137;FAC;0069;00041303;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;845,19;12,68
5631626;18/05/18;18/05/18;7193;FAC;0143;00010586;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;845,19;12,68
5656362;22/05/18;22/05/18;7193;FAC;0143;00010597;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;439,28;6,59
5700173;28/05/18;28/05/18;1140;FAC;0148;00004950;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;320,13;4,80
5714470;30/05/18;30/05/18;1130;FAC;0144;00009922;SCR;SANTA CRUZ;0170;MARTINEZ FERNANDO;80;20073299846;;;;;;;SCR;SANTA CRUZ;366,26;5,49
5675943;25/05/18;25/05/18;6243;FAC;0068;00057729;SCR;SANTA CRUZ;SC04200;SCHULZE HERMAN LEO;80;20073313938;;;;;;;SCR;SANTA CRUZ;1.319,82;19,80
5552433;04/05/18;04/05/18;6260;FAC;0100;00028843;SCR;SANTA CRUZ;10127;DEBROUVIER ABEL;80;20073319731;;;;;;;SCR;SANTA CRUZ;401,91;6,03
5579915;10/05/18;10/05/18;6260;FAC;0100;00029059;SCR;SANTA CRUZ;10127;DEBROUVIER ABEL;80;20073319731;;;;;;;SCR;SANTA CRUZ;1.057,05;15,86
5598304;12/05/18;12/05/18;7137;FAC;0069;00041198;SCR;SANTA CRUZ;10127;DEBROUVIER ABEL;80;20073319731;;;;;;;SCR;SANTA CRUZ;320,28;4,80
5631648;18/05/18;18/05/18;1140;FAC;0148;00004832;SCR;SANTA CRUZ;10127;DEBROUVIER ABEL;80;20073319731;;;;;;;SCR;SANTA CRUZ;400,35;6,01
5634931;20/05/18;20/05/18;6243;FAC;0068;00057531;SCR;SANTA CRUZ;10127;DEBROUVIER ABEL;80;20073319731;;;;;;;SCR;SANTA CRUZ;853,97;12,81
5667393;24/05/18;24/05/18;7188;FAC;0137;00008886;SCR;SANTA CRUZ;10127;DEBROUVIER ABEL;80;20073319731;;;;;;;SCR;SANTA CRUZ;400,35;6,01
5645873;18/05/18;18/05/18;7371;FAC;0150;00008398;SCR;SANTA CRUZ;LHE00797;DIAZ OSCAR RICARDO;80;20073679312;;;;;;;LHE;TASA VIAL LAS HERAS;1.345,74;39,21
5645873;18/05/18;18/05/18;7371;FAC;0150;00008398;SCR;SANTA CRUZ;LHE00797;DIAZ OSCAR RICARDO;80;20073679312;;;;;;;SCR;SANTA CRUZ;997,25;14,96
5514502;01/05/18;01/05/18;7371;FAC;0150;00008187;SCR;SANTA CRUZ;H00700;HERMOSO CARLOS ALBERTO;C;20076151084;;;;;;;LHE;TASA VIAL LAS HERAS;5.963,59;133,27
5514502;01/05/18;01/05/18;7371;FAC;0150;00008187;SCR;SANTA CRUZ;H00700;HERMOSO CARLOS ALBERTO;C;20076151084;;;;;;;SCR;SANTA CRUZ;4.906,06;73,59
5579874;10/05/18;10/05/18;6243;FAC;0068;00057391;SCR;SANTA CRUZ;H00700;HERMOSO CARLOS ALBERTO;C;20076151084;;;;;;;SCR;SANTA CRUZ;6.806,20;102,09
5583946;11/05/18;11/05/18;6260;FAC;0100;00029084;SCR;SANTA CRUZ;H00700;HERMOSO CARLOS ALBERTO;C;20076151084;;;;;;;SCR;SANTA CRUZ;1.070,57;16,06
5528223;02/05/18;02/05/18;3040;FAC;0121;00006448;SCR;SANTA CRUZ;10172;HERMOSO CARLOS ALBERTO;80;20076151084;;;;;;;SCR;SANTA CRUZ;733,25;11,00
5542047;04/05/18;04/05/18;3040;FAC;0121;00006523;SCR;SANTA CRUZ;10172;HERMOSO CARLOS ALBERTO;80;20076151084;;;;;;;SCR;SANTA CRUZ;1.030,36;15,46
5566487;08/05/18;08/05/18;3040;FAC;0121;00006670;SCR;SANTA CRUZ;10172;HERMOSO CARLOS ALBERTO;80;20076151084;;;;;;;SCR;SANTA CRUZ;1.415,99;21,24
5582500;10/05/18;10/05/18;3040;FAC;0121;00006764;SCR;SANTA CRUZ;10172;HERMOSO CARLOS ALBERTO;80;20076151084;;;;;;;SCR;SANTA CRUZ;340,44;5,11
5697242;28/05/18;28/05/18;3040;FAC;0121;00007330;SCR;SANTA CRUZ;10172;HERMOSO CARLOS ALBERTO;80;20076151084;;;;;;;SCR;SANTA CRUZ;733,25;11,00
5587284;11/05/18;11/05/18;7381;FAC;0162;00007952;SCR;SANTA CRUZ;LHE0325;EPIFANE EMILIO;80;20076155012;;;;;;;LHE;TASA VIAL LAS HERAS;582,43;16,76
5613112;15/05/18;15/05/18;7381;FAC;0162;00008081;SCR;SANTA CRUZ;LHE0325;EPIFANE EMILIO;80;20076155012;;;;;;;LHE;TASA VIAL LAS HERAS;485,35;13,97
5587284;11/05/18;11/05/18;7381;FAC;0162;00007952;SCR;SANTA CRUZ;LHE0325;EPIFANE EMILIO;80;20076155012;;;;;;;SCR;SANTA CRUZ;471,99;7,08
5613112;15/05/18;15/05/18;7381;FAC;0162;00008081;SCR;SANTA CRUZ;LHE0325;EPIFANE EMILIO;80;20076155012;;;;;;;SCR;SANTA CRUZ;393,32;5,90
5634074;19/05/18;19/05/18;6243;FAC;0068;00057504;SCR;SANTA CRUZ;SC04653;TRANSPORTES Y SERV. FHA;80;20076159247;;;;;;;SCR;SANTA CRUZ;406,59;6,10
5702994;29/05/18;29/05/18;3040;FAC;0121;00007363;SCR;SANTA CRUZ;SJ001841;AYALA FRANCISCO HECTOR;80;20076159247;;;;;;;SCR;SANTA CRUZ;320,99;4,81
5669196;25/05/18;25/05/18;1140;FAC;0148;00004911;SCR;SANTA CRUZ;SJ002886;ORTIZ ALBERTO OSCAR;80;20076469432;;;;;;;SCR;SANTA CRUZ;731,74;10,98
5624675;17/05/18;17/05/18;6243;FAC;0068;00057484;SCR;SANTA CRUZ;SC5097;MADRID MIGUEL ANGEL;80;20076616176;;;;;;;SCR;SANTA CRUZ;519,17;7,79
5573759;09/05/18;09/05/18;1140;FAC;0148;00004768;SCR;SANTA CRUZ;SJ2509;MADRID MIGUEL ANGEL;80;20076616176;;;;;;;SCR;SANTA CRUZ;528,91;7,93
5656365;22/05/18;22/05/18;7193;FAC;0143;00010600;SCR;SANTA CRUZ;SJ2509;MADRID MIGUEL ANGEL;80;20076616176;;;;;;;SCR;SANTA CRUZ;528,91;7,93
5705084;29/05/18;29/05/18;1130;FAC;0144;00009905;SCR;SANTA CRUZ;SJ2509;MADRID MIGUEL ANGEL;80;20076616176;;;;;;;SCR;SANTA CRUZ;528,91;7,93
5598332;12/05/18;12/05/18;1130;FAC;0144;00009687;SCR;SANTA CRUZ;SJ02213;BALBOA SEBASTIAN;80;20078123355;;;;;;;SCR;SANTA CRUZ;1.126,98;16,90
5543226;04/05/18;04/05/18;1140;FAC;0148;00004712;SCR;SANTA CRUZ;10877;VILLAGRA LUIS RICARDO;80;20078147696;;;;;;;SCR;SANTA CRUZ;721,36;10,82
5544378;05/05/18;05/05/18;7137;FAC;0069;00041076;SCR;SANTA CRUZ;10877;VILLAGRA LUIS RICARDO;80;20078147696;;;;;;;SCR;SANTA CRUZ;705,22;10,58
5656339;22/05/18;22/05/18;7188;FAC;0137;00008851;SCR;SANTA CRUZ;10877;VILLAGRA LUIS RICARDO;80;20078147696;;;;;;;SCR;SANTA CRUZ;806,47;12,10
5625524;17/05/18;17/05/18;7381;FAC;0162;00008146;CHU;CHUBUT;10028;FERREYRA DE LAS CASAS IGNACIO;80;20078163128;;;;;;;LHE;TASA VIAL LAS HERAS;1.470,29;42,84
5625524;17/05/18;17/05/18;7381;FAC;0162;00008146;CHU;CHUBUT;10028;FERREYRA DE LAS CASAS IGNACIO;80;20078163128;;;;;;;SCR;SANTA CRUZ;1.089,55;16,34
5552425;04/05/18;04/05/18;6260;FAC;0100;00028835;SCR;SANTA CRUZ;SC5601;FERREYRA IGNACIO;80;20078163128;;;;;;;SCR;SANTA CRUZ;973,54;14,60
5577958;11/05/18;11/05/18;7183;FAC;0107;00007527;SCR;SANTA CRUZ;80301;ALMAZAN CESAR;80;20078198525;;;;;;;SCR;SANTA CRUZ;1.111,95;16,68
5630284;18/05/18;18/05/18;7183;FAC;0107;00007793;SCR;SANTA CRUZ;80301;ALMAZAN CESAR;80;20078198525;;;;;;;SCR;SANTA CRUZ;12.935,81;194,04
5721281;31/05/18;31/05/18;7183;FAC;0107;00008343;SCR;SANTA CRUZ;80301;ALMAZAN CESAR;80;20078198525;;;;;;;SCR;SANTA CRUZ;910,89;13,66
5721985;31/05/18;31/05/18;7183;FAC;0107;00008344;SCR;SANTA CRUZ;80301;ALMAZAN CESAR;80;20078198525;;;;;;;SCR;SANTA CRUZ;17.425,38;261,38
5762907;31/05/18;31/05/18;7183;FAC;0107;00008629;SCR;SANTA CRUZ;80301;ALMAZAN CESAR;80;20078198525;;;;;;;SCR;SANTA CRUZ;8.232,63;123,49
5631639;18/05/18;18/05/18;1130;FAC;0144;00009781;SCR;SANTA CRUZ;10309;RIVAS ANTONIO ARISTOBULO;80;20078544261;;;;;;;SCR;SANTA CRUZ;370,70;5,56
5650336;21/05/18;21/05/18;1140;FAC;0148;00004857;SCR;SANTA CRUZ;10309;RIVAS ANTONIO ARISTOBULO;80;20078544261;;;;;;;SCR;SANTA CRUZ;741,40;11,12
5542029;04/05/18;04/05/18;3040;FAC;0121;00006505;SCR;SANTA CRUZ;SF002098;FERREIRA SEGUNDO;80;20080304979;;;;;;;SCR;SANTA CRUZ;713,43;10,70
5576276;09/05/18;09/05/18;3040;FAC;0121;00006706;SCR;SANTA CRUZ;SF002098;FERREIRA SEGUNDO;80;20080304979;;;;;;;SCR;SANTA CRUZ;722,74;10,84
5591792;11/05/18;11/05/18;3040;FAC;0121;00006806;SCR;SANTA CRUZ;SF002098;FERREIRA SEGUNDO;80;20080304979;;;;;;;SCR;SANTA CRUZ;1.026,36;15,40
5722089;31/05/18;31/05/18;3040;FAC;0121;00007417;SCR;SANTA CRUZ;SF002098;FERREIRA SEGUNDO;80;20080304979;;;;;;;SCR;SANTA CRUZ;510,61;7,66
5543229;04/05/18;04/05/18;1140;FAC;0148;00004715;SCR;SANTA CRUZ;SJ0JGH;NORIA GREGORIO ANDRES;80;20080411813;;;;;;;SCR;SANTA CRUZ;741,40;11,12
